40.000000, -74.000000
40.689445, -74.044724, Cultural
45.709721, -64.435837, Natural
45.118332, -64.307220, Cultural
25.554445, -80.996391, Natural
23.133333, -82.349998, Cultural
15.744445, -84.675003, Natural
12.397220, -86.610283, Cultural
16.750000, -87.058334, Natural
15.270590, -89.040253, Cultural
18.053028, -89.737282, Mixed
10.850000, -85.616669, Natural
9.553889, -79.655830, Cultural
7.666667, -77.000000, Natural
11.400000, -69.683334, Cultural
13.807083, -61.070362, Natural
13.096666, -59.613888, Cultural
15.266666, -61.283333, Natural
17.006945, -61.761665, Cultural
4.000000, -56.500000, Natural
-19.583611, -65.753059, Cultural
-17.716669, -57.383331, Natural
-20.205820, -69.794060, Cultural
-13.116667, -72.583336, Mixed
-12.250000, -71.750000, Natural
-8.100000, -79.083328, Cultural
-1.833330, -78.333328, Natural
-0.003889, -78.500000, Cultural
18.077499, -76.571114, Mixed
19.883329, -77.633331, Natural
21.378611, -77.918610, Cultural
40.000000, -74.000000
